,x,y,z,cluster
0,-3604.5022,1476.6941,-923.2004,0
1,-3598.5378,1415.3704,-985.36914,0
2,-3418.2993,1410.858,-987.4579,0
3,-3920.1973,1334.5706,-1011.0229,0
4,-3575.2925,1452.4973,-1012.05835,0
5,-3990.593,1309.5626,-1014.7533,0
6,-3460.4614,1481.9529,-963.8815,0
7,-3666.915,1382.6047,-974.9098,0
8,-3426.624,1515.5345,-1049.9272,0
9,-3549.297,1490.1233,-947.191,0
10,-3551.9783,1464.553,-1056.8744,0
11,-3618.5015,1462.3616,-1012.24274,0
12,-3445.5151,1458.6571,-1018.23065,0
13,-3534.9382,1467.9578,-985.08014,0
14,-3482.4595,1477.679,-992.9826,0
15,-3636.7234,1484.5906,-971.2132,0
16,-3480.5376,1508.6978,-977.70764,0
17,-3704.8142,1387.2163,-1007.4034,0
18,-3428.8374,1529.3057,-1016.66003,0
19,-3579.6418,1492.6133,-992.4947,0
20,-3552.4434,1490.7744,-1016.90924,0
21,-4141.0674,1348.7883,-969.21094,0
22,-3501.3855,1529.5457,-1019.5913,0
23,-4139.615,1372.5469,-956.1625,0
24,-2994.3198,1669.1125,-971.7236,0
25,-3773.5945,1397.8639,-997.36993,0
26,-3586.1465,1452.9204,-959.1059,0
27,-3646.323,1420.1368,-963.225,0
28,-3571.8713,1436.218,-985.1309,0
29,-2850.6494,1624.7418,-997.03265,0
30,-3410.049,1384.3179,-1006.9422,0
31,-3412.1362,1454.7264,-1012.4199,0
32,-3454.077,1489.827,-1009.358,0
33,-2910.2693,1623.042,-989.80524,0
34,-3062.6367,1581.6766,-1085.9144,0
35,-3176.456,1466.0164,-1025.69,0
36,-3615.4746,1377.5375,-1080.0153,0
37,-3292.6404,1524.7241,-994.9346,0
38,-3667.5405,1425.7208,-1006.469,0
39,-3723.6562,1359.189,-1022.0503,0
40,-3840.0454,1400.7953,-998.2683,0
41,-3184.1611,1551.1879,-999.11487,0
42,-3580.8694,1409.4159,-1031.164,0
43,-3494.078,1500.0946,-1061.3257,0
44,-3856.008,1312.2673,-1042.8778,0
45,-3113.302,1606.9004,-1015.6404,0
46,-3143.0461,1556.0316,-1139.3623,0
47,-3685.8677,1391.9039,-1098.7727,0
48,-3939.8008,1366.6718,-997.4132,0
49,-3040.0552,1639.6986,-986.7448,0
50,-3259.2476,1607.0859,-987.5876,0
51,-3374.366,1540.8475,-1009.7806,0
52,-3632.5828,1464.9977,-929.178,0
53,-3698.7341,1434.0834,-981.2081,0
54,-3761.4883,1308.0325,-1058.9043,0
55,-3539.092,1411.5502,-994.9735,0
56,-3729.625,1289.4065,-1032.7019,0
57,-3171.1846,1590.113,-989.8693,0
58,-3283.559,1488.8951,-987.80865,0
59,-3329.3115,1522.7823,-1019.8118,0
60,-3477.4023,1408.7947,-1049.1627,0
61,-3266.0781,1475.8729,-1020.78955,0
62,-3052.9688,1538.9058,-1104.7063,0
63,-3456.6726,1472.4656,-1052.4166,0
64,-3278.264,1442.0789,-1029.3901,0
65,-3870.8987,1344.2229,-1012.3478,0
66,-3101.728,1589.8756,-995.2785,0
67,-3621.1592,1430.2162,-1035.773,0
68,-3344.5605,1414.3073,-1022.79236,0
69,-3634.0576,1402.9023,-1020.2504,0
70,-3621.6482,1446.8987,-986.7899,0
71,-3070.3555,1554.2773,-1154.3285,0
72,-3077.0593,1633.2977,-1022.322,0
73,-3683.7986,1355.2042,-1036.7273,0
74,-3670.5222,1456.0479,-995.1167,0
75,-3332.5015,1529.5919,-1063.9635,0
76,-3219.2136,1577.1016,-1014.81915,0
77,-3873.187,1380.8337,-1026.2601,0
78,-2760.2307,1660.2072,-980.7484,0
79,-3475.7605,1355.8793,-1011.72577,0
80,-3296.8396,1491.2633,-1041.1813,0
81,-3659.2563,1296.456,-1054.902,0
82,-3660.8833,1336.1581,-997.5504,0
83,-3158.4016,1446.9252,-1006.6351,0
84,-3381.876,1443.5337,-979.69446,0
85,-3085.1458,1490.9072,-1068.0931,0
86,-3101.6685,1532.8341,-1022.1632,0
87,-3864.9424,1270.6921,-1063.8375,0
88,-3267.887,1509.9557,-1136.241,0
89,-3944.3052,1319.0347,-1028.1522,0
90,-3774.817,1389.6434,-1072.1278,0
91,-3089.0676,1603.626,-1047.794,0
92,-3479.6746,1481.7449,-1021.1519,0
93,-3118.206,1544.9747,-1099.2926,0
94,-3147.828,1596.4558,-1009.466,0
95,-3786.2566,1383.8726,-1029.909,0
96,-3864.5852,1367.7277,-988.32153,0
97,-3203.1458,1522.2905,-999.0259,0
98,-3259.9285,1545.4176,-1046.8113,0
99,-3390.7415,1535.4001,-1038.8853,0
100,-3596.0815,1458.371,-1057.4509,0
101,-3723.5342,1418.5574,-1027.9126,0
102,-2275.017,1783.228,-1055.1279,0
103,-3355.1,1476.9548,-1004.69293,0
104,-3810.1462,1323.3044,-1011.2172,0
105,-3179.0588,1525.1344,-1033.807,0
106,-3742.9873,1323.8958,-1003.51935,0
107,-3633.8154,1357.1936,-993.638,0
108,-3001.9011,1575.1118,-1013.40186,0
109,-3478.2217,1397.2375,-1113.6952,0
110,-3317.664,1487.599,-1001.56934,0
111,-2883.7776,1629.3711,-992.4265,0
112,-3164.5442,1514.0455,-996.931,0
113,-3411.529,1489.3917,-997.56586,0
114,-3714.801,1352.1685,-1082.5847,0
115,-3308.554,1463.0536,-1021.6137,0
116,-3374.9075,1451.475,-1028.5682,0
117,-3516.3206,1473.2865,-1058.0367,0
118,-3734.738,1394.0913,-1055.0286,0
119,-3524.635,1438.4338,-1034.892,0
120,-2728.7004,1676.5935,-1019.56256,0
121,-3674.4165,1348.0438,-1076.4888,0
122,-3546.4463,1354.855,-1020.09143,0
123,-3136.074,1564.3402,-1072.2186,0
124,-3204.609,1480.9219,-1142.8331,0
125,-3179.7234,1540.8522,-1123.2341,0
126,-4002.671,1283.6996,-1039.188,0
127,-2952.6458,1650.5247,-1007.4676,0
128,-2831.8535,1662.855,-1064.3975,0
129,-3250.6824,1508.7311,-1076.2174,0
130,-3725.7976,1414.995,-965.0823,0
131,-3474.7285,1350.487,-1101.3391,0
132,-3376.001,1480.2972,-972.4247,0
133,-3253.0134,1401.8175,-1089.872,0
134,-3204.3381,1578.5347,-1061.5361,0
135,-3036.335,1570.4452,-1034.7777,0
136,-3565.8862,1430.1754,-1070.3688,0
137,-3338.9836,1447.396,-1040.3682,0
138,-3051.4773,1607.8298,-1020.08136,0
139,-3545.9814,1324.4492,-1047.7616,0
140,-2896.6992,1531.1344,-1107.221,0
141,-3510.911,1419.3721,-1067.4431,0
142,-2887.6301,1615.8043,-1032.595,0
143,-3490.3577,1398.6908,-1018.11615,0
144,-3209.081,1484.107,-1073.6941,0
145,-3537.1074,1442.4738,-1099.2188,0
146,-2525.2456,1691.965,-1084.9998,0
147,-3387.3147,1506.8693,-1072.7927,0
148,-3320.5996,1482.1556,-1076.7537,0
149,-3079.6057,1578.4984,-1031.2443,0
150,-2951.8616,1598.7189,-1023.93933,0
151,-3649.3806,1425.3798,-1054.4812,0
152,-3828.832,1363.3579,-1023.7468,0
153,-3657.2253,1457.5312,-1026.3854,0
154,-2783.934,1672.0309,-1054.6284,0
155,-3768.1794,1355.9214,-1040.1023,0
156,-3783.8271,1312.1224,-1034.7656,0
157,-3126.7935,1546.2592,-992.3136,0
158,-3425.4504,1447.8617,-1056.975,0
159,-2890.9355,1595.2402,-1015.4251,0
160,-2994.5085,1532.7812,-993.5121,0
161,-3139.1038,1443.986,-1045.8612,0
162,-3228.348,1505.8431,-1043.9832,0
